value,timestamp
10.0,2017-03-31 09:30:20.000000
20.0,2017-03-31 09:31:20.000000
30.0,2017-03-31 09:32:20.000000
86.0,2020-12-02 09:21:16.565554
88.0,2020-12-02 09:25:41.689977
89.0,2020-12-02 09:27:11.827994
93.0,2020-12-02 09:27:51.575140
85.0,2020-12-02 09:29:02.299680
85.0,2020-12-02 09:29:42.327491
87.0,2020-12-02 09:32:11.926620
89.0,2020-12-02 09:33:22.413518
89.0,2020-12-02 09:33:42.126423
90.0,2020-12-02 09:36:17.684348
89.0,2020-12-02 09:38:28.273830
88.0,2020-12-02 09:38:33.449895
89.0,2020-12-02 09:38:37.874308
89.0,2020-12-02 09:41:33.897609
92.0,2020-12-02 09:45:24.254776
114.0,2020-12-02 09:46:34.018593
113.0,2020-12-02 09:47:34.121746
112.0,2020-12-02 09:47:39.284165
111.0,2020-12-02 09:51:34.878912
111.0,2020-12-02 09:52:50.326238
110.0,2020-12-02 09:54:10.693959
111.0,2020-12-02 09:55:45.685988
109.0,2020-12-02 10:00:41.452882
101.0,2020-12-02 10:01:56.210172
108.0,2020-12-02 10:03:06.946033
108.0,2020-12-02 10:03:11.742412
110.0,2020-12-02 10:05:06.998670
112.0,2020-12-02 10:05:12.416684
109.0,2020-12-02 10:05:17.436286
110.0,2020-12-02 10:05:21.664048
112.0,2020-12-02 10:05:26.988909
109.0,2020-12-02 10:05:31.971769
109.0,2020-12-02 10:05:37.109095
109.0,2020-12-02 10:05:42.595718
109.0,2020-12-02 10:05:47.461236
109.0,2020-12-02 10:05:51.724064
110.0,2020-12-02 10:05:57.054821
110.0,2020-12-02 10:06:01.966491
111.0,2020-12-02 10:06:08.289446
125.0,2020-12-02 10:06:12.878960
108.0,2020-12-02 10:06:17.480607
108.0,2020-12-02 10:06:21.916967
108.0,2020-12-02 10:06:27.033227
109.0,2020-12-02 10:06:32.383223
110.0,2020-12-02 10:06:37.213219
111.0,2020-12-02 10:06:42.628477
110.0,2020-12-02 10:06:47.058978
112.0,2020-12-02 10:06:52.214045
111.0,2020-12-02 10:06:57.405922
109.0,2020-12-02 10:07:02.437904
112.0,2020-12-02 10:07:07.566647
110.0,2020-12-02 10:07:12.769954
112.0,2020-12-02 10:07:17.006821
112.0,2020-12-02 10:07:22.168486
111.0,2020-12-02 10:07:27.446831
111.0,2020-12-02 10:07:32.416512
110.0,2020-12-02 10:07:37.591327
111.0,2020-12-02 10:07:42.492314
112.0,2020-12-02 10:07:47.656176
112.0,2020-12-02 10:07:52.206925
113.0,2020-12-02 10:07:57.367128
123.0,2020-12-02 10:08:02.514989
109.0,2020-12-02 10:08:07.633896
108.0,2020-12-02 10:08:12.759844
108.0,2020-12-02 10:08:17.170285
110.0,2020-12-02 10:08:22.386147
111.0,2020-12-02 10:08:27.728274
110.0,2020-12-02 10:08:32.986333
109.0,2020-12-02 10:08:37.745640
110.0,2020-12-02 10:08:42.959116
112.0,2020-12-02 10:08:47.247614
109.0,2020-12-02 10:08:52.404501
111.0,2020-12-02 10:08:57.527370
110.0,2020-12-02 10:09:02.644529
112.0,2020-12-02 10:09:07.771281
112.0,2020-12-02 10:09:13.083554
109.0,2020-12-02 10:09:17.339489
109.0,2020-12-02 10:09:22.523977
112.0,2020-12-02 10:09:27.783133
112.0,2020-12-02 10:09:32.773366
112.0,2020-12-02 10:09:37.902958
111.0,2020-12-02 10:09:42.786379
111.0,2020-12-02 10:09:47.477759
112.0,2020-12-02 10:09:53.645372
111.0,2020-12-02 10:09:57.709454
111.0,2020-12-02 10:10:02.955947
109.0,2020-12-02 10:10:08.288165
114.0,2020-12-02 10:10:12.870711
112.0,2020-12-02 10:10:17.661232
112.0,2020-12-02 10:10:22.495780
111.0,2020-12-02 10:10:28.185163
112.0,2020-12-02 10:10:32.737051
112.0,2020-12-02 10:10:38.158080
111.0,2020-12-02 10:10:43.305387
112.0,2020-12-02 10:10:47.461129
112.0,2020-12-02 10:10:52.857962
111.0,2020-12-02 10:10:57.955074
112.0,2020-12-02 10:11:02.783132
112.0,2020-12-02 10:11:07.987284
112.0,2020-12-02 10:11:13.550988
112.0,2020-12-02 10:11:17.647005
113.0,2020-12-02 10:11:22.674489
113.0,2020-12-02 10:11:27.916101
112.0,2020-12-02 10:11:32.924248
112.0,2020-12-02 10:11:38.030117
110.0,2020-12-02 10:11:43.452825
111.0,2020-12-02 10:11:47.562942
111.0,2020-12-02 10:11:52.917185
113.0,2020-12-02 10:11:58.011678
112.0,2020-12-02 10:12:02.943023
114.0,2020-12-02 10:12:08.163425
112.0,2020-12-02 10:12:12.694589
114.0,2020-12-02 10:12:17.903599
112.0,2020-12-02 10:12:23.006029
113.0,2020-12-02 10:12:27.889971
111.0,2020-12-02 10:12:33.068924
111.0,2020-12-02 10:12:38.172301
114.0,2020-12-02 10:12:43.420122
111.0,2020-12-02 10:12:47.744172
112.0,2020-12-02 10:12:52.897187
112.0,2020-12-02 10:12:58.035377
112.0,2020-12-02 10:13:03.443713
112.0,2020-12-02 10:13:08.248254
112.0,2020-12-02 10:13:13.399964
111.0,2020-12-02 10:13:17.809143
112.0,2020-12-02 10:13:22.994600
113.0,2020-12-02 10:13:28.080762
111.0,2020-12-02 10:13:33.229286
113.0,2020-12-02 10:13:38.321612
113.0,2020-12-02 10:13:43.465301
113.0,2020-12-02 10:13:47.887514
111.0,2020-12-02 10:13:53.073798
112.0,2020-12-02 10:13:58.166412
113.0,2020-12-02 10:14:03.303901
110.0,2020-12-02 10:14:09.164795
111.0,2020-12-02 10:14:13.837811
111.0,2020-12-02 10:14:18.007994
114.0,2020-12-02 10:14:23.204799
112.0,2020-12-02 10:14:28.295663
112.0,2020-12-02 10:14:33.852276
111.0,2020-12-02 10:14:39.174114
112.0,2020-12-02 10:14:42.943914
111.0,2020-12-02 10:14:48.195793
114.0,2020-12-02 10:14:53.261270
110.0,2020-12-02 10:14:58.385144
112.0,2020-12-02 10:15:03.770410
113.0,2020-12-02 10:15:09.583177
112.0,2020-12-02 10:15:13.021693
114.0,2020-12-02 10:15:18.331766
114.0,2020-12-02 10:15:23.279590
111.0,2020-12-02 10:15:28.427101
111.0,2020-12-02 10:15:33.568508
112.0,2020-12-02 10:15:38.658673
112.0,2020-12-02 10:15:43.084514
112.0,2020-12-02 10:15:48.259623
112.0,2020-12-02 10:15:53.560144
112.0,2020-12-02 10:15:58.463761
112.0,2020-12-02 10:16:03.674353
113.0,2020-12-02 10:16:08.859026
111.0,2020-12-02 10:16:13.188837
111.0,2020-12-02 10:16:18.488297
113.0,2020-12-02 10:16:23.426049
111.0,2020-12-02 10:16:28.594816
110.0,2020-12-02 10:16:33.766059
112.0,2020-12-02 10:16:39.061801
112.0,2020-12-02 10:16:43.406263
114.0,2020-12-02 10:16:48.464287
110.0,2020-12-02 10:16:53.623054
114.0,2020-12-02 10:16:58.675119
112.0,2020-12-02 10:17:03.785349
113.0,2020-12-02 10:17:08.880405
114.0,2020-12-02 10:17:13.486705
113.0,2020-12-02 10:17:18.722457
112.0,2020-12-02 10:17:23.587776
112.0,2020-12-02 10:17:29.960962
114.0,2020-12-02 10:17:33.822684
113.0,2020-12-02 10:17:39.004444
112.0,2020-12-02 10:17:43.574872
113.0,2020-12-02 10:17:48.738046
112.0,2020-12-02 10:17:53.667089
113.0,2020-12-02 10:17:58.816566
112.0,2020-12-02 10:18:04.157620
113.0,2020-12-02 10:18:08.638025
112.0,2020-12-02 10:18:13.809561
111.0,2020-12-02 10:18:18.663169
112.0,2020-12-02 10:18:24.081729
111.0,2020-12-02 10:18:28.899761
113.0,2020-12-02 10:18:34.054650
112.0,2020-12-02 10:18:39.855071
113.0,2020-12-02 10:18:43.578833
110.0,2020-12-02 10:18:48.755813
110.0,2020-12-02 10:18:53.863422
111.0,2020-12-02 10:18:59.238697
110.0,2020-12-02 10:19:04.069993
112.0,2020-12-02 10:19:09.350301
113.0,2020-12-02 10:19:13.667861
113.0,2020-12-02 10:19:18.823429
111.0,2020-12-02 10:19:23.968318
112.0,2020-12-02 10:19:29.079717
112.0,2020-12-02 10:19:34.358666
113.0,2020-12-02 10:19:39.331730
113.0,2020-12-02 10:19:43.724820
114.0,2020-12-02 10:19:49.056160
114.0,2020-12-02 10:19:53.985807
114.0,2020-12-02 10:19:59.203399
111.0,2020-12-02 10:20:04.502975
113.0,2020-12-02 10:20:09.342030
112.0,2020-12-02 10:20:13.873452
114.0,2020-12-02 10:20:19.008785
111.0,2020-12-02 10:20:24.161935
114.0,2020-12-02 10:20:29.241795
112.0,2020-12-02 10:20:34.488231
112.0,2020-12-02 10:20:38.925879
112.0,2020-12-02 10:20:44.012100
112.0,2020-12-02 10:20:49.219026
110.0,2020-12-02 10:20:54.141508
114.0,2020-12-02 10:20:59.466326
113.0,2020-12-02 10:21:04.385905
112.0,2020-12-02 10:21:08.910148
114.0,2020-12-02 10:21:15.176499
111.0,2020-12-02 10:21:19.145511
113.0,2020-12-02 10:21:24.314643
112.0,2020-12-02 10:21:29.703848
112.0,2020-12-02 10:21:34.461772
113.0,2020-12-02 10:21:39.123516
112.0,2020-12-02 10:21:45.111627
112.0,2020-12-02 10:21:49.455884
112.0,2020-12-02 10:21:54.286840
112.0,2020-12-02 10:21:59.464505
113.0,2020-12-02 10:22:04.763303
111.0,2020-12-02 10:22:09.327996
113.0,2020-12-02 10:22:14.579463
111.0,2020-12-02 10:22:19.292432
112.0,2020-12-02 10:22:24.468696
111.0,2020-12-02 10:22:29.637318
111.0,2020-12-02 10:22:34.856644
113.0,2020-12-02 10:22:39.098779
113.0,2020-12-02 10:22:44.267535
114.0,2020-12-02 10:22:49.643574
112.0,2020-12-02 10:22:54.474557
113.0,2020-12-02 10:22:59.633964
113.0,2020-12-02 10:23:05.021917
114.0,2020-12-02 10:23:09.210887
112.0,2020-12-02 10:23:14.404276
111.0,2020-12-02 10:23:19.483912
112.0,2020-12-02 10:23:24.576534
