pm1,pm10,pm25,timestamp
3,12,6,2020-11-12 18:50:11.061790
2,10,4,2020-11-12 18:50:16.198690
3,11,5,2020-11-12 18:50:21.223789
3,16,7,2020-11-12 18:50:26.421446
3,12,6,2020-11-12 18:50:31.635428
3,12,6,2020-11-12 18:50:36.540401
3,12,6,2020-11-12 18:50:41.081756
3,16,7,2020-11-12 18:50:46.208028
3,16,7,2020-11-12 18:50:51.496820
3,12,6,2020-11-12 18:50:56.395887
3,7,4,2020-11-12 18:51:01.698848
2,7,4,2020-11-12 18:51:05.988455
2,7,4,2020-11-12 18:51:11.288705
2,7,4,2020-11-12 18:51:16.235547
2,6,3,2020-11-12 18:51:21.554905
2,2,2,2020-11-12 18:51:26.464862
2,2,2,2020-11-12 18:51:31.623611
2,2,2,2020-11-12 18:51:36.062443
2,6,3,2020-11-12 18:51:41.275706
3,6,3,2020-11-12 18:51:46.364968
3,7,4,2020-11-12 18:51:51.460311
3,10,4,2020-11-12 18:51:56.597047
3,15,6,2020-11-12 18:52:36.221517
3,16,7,2020-11-12 18:52:41.572672
3,16,7,2020-11-12 18:52:46.548327
3,15,6,2020-11-12 18:52:51.660312
2,18,6,2020-11-12 18:52:56.758292
2,18,6,2020-11-12 18:53:02.622219
2,18,6,2020-11-12 18:53:06.289822
2,18,6,2020-11-12 18:53:11.490033
2,18,6,2020-11-12 18:53:16.580381
2,14,5,2020-11-12 18:53:21.687835
3,19,7,2020-11-12 18:53:26.800717
3,15,6,2020-11-12 18:53:31.949644
3,15,6,2020-11-12 18:53:36.363164
2,13,4,2020-11-12 18:53:41.585950
2,10,4,2020-11-12 18:53:46.733193
3,7,4,2020-11-12 18:53:51.806260
3,6,3,2020-11-12 18:53:56.900530
3,6,3,2020-11-12 18:54:02.054000
3,4,4,2020-11-12 18:54:06.608073
3,4,4,2020-11-12 18:54:36.684906
3,4,4,2020-11-12 18:54:41.707493
3,5,5,2020-11-12 18:54:46.982809
3,5,5,2020-11-12 18:54:52.097255
3,5,5,2020-11-12 18:54:57.030182
2,4,4,2020-11-12 18:55:01.571873
2,3,3,2020-11-12 18:55:06.884701
2,2,2,2020-11-12 18:55:11.751253
2,2,2,2020-11-12 18:55:16.914000
2,2,2,2020-11-12 18:55:22.072212
2,2,2,2020-11-12 18:55:27.220316
2,2,2,2020-11-12 18:55:31.581583
2,2,2,2020-11-12 18:55:36.807035
2,2,2,2020-11-12 18:55:48.310277
2,5,2,2020-11-12 18:55:52.090803
2,5,2,2020-11-12 18:55:57.268575
3,6,3,2020-11-12 18:56:01.688330
3,6,3,2020-11-12 18:56:06.896167
3,6,3,2020-11-12 18:56:11.996304
3,7,4,2020-11-12 18:56:22.236950
3,6,3,2020-11-12 18:56:27.350671
3,6,3,2020-11-12 18:56:31.736647
3,7,4,2020-11-12 18:56:36.901183
3,10,4,2020-11-12 18:56:42.116297
2,5,2,2020-11-12 18:56:47.139477
2,5,2,2020-11-12 18:56:52.273267
2,9,3,2020-11-12 18:56:57.377987
3,6,3,2020-11-12 18:57:01.801537
3,6,3,2020-11-12 18:57:06.977272
3,6,3,2020-11-12 18:57:12.109134
3,6,3,2020-11-12 18:57:17.528379
